127.0.0.1 - - [29/Jan/2024:09:45:17 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:15 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:15 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:15 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:26 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:28 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:30 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:30 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:51:49 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:04 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:04 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:04 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:05 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:13 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:13 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4668
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:13 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:13 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 200 151872
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:13 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 200 35550
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:52:13 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4668
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:13 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:13 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4668
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:13 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:13 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:13 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:14 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4668
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:44 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:44 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4668
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:44 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:44 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:53:44 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:00 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:00 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:00 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:00 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:00 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:00 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:24 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:24 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:24 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:24 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:56:24 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:22 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:22 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:22 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:22 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:22 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:22 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:31 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:31 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:31 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:31 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:31 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:48 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:48 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:48 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:48 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:57:48 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:58:22 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:58:22 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:58:22 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:58:22 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:58:22 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:08 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:08 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:08 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:08 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:08 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:08 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:22 -0800] "POST /Shopaholic/EditProductServlet HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:22 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:25 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:25 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:55 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:55 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4746
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:55 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:55 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:59:55 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:22 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:22 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4746
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:22 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:22 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:22 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:22 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4746
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:32 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:32 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4760
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:32 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:32 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:32 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:47 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:47 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4782
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:47 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:47 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:47 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:11 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:12 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:12 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:12 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:12 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:12 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:32 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:33 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:33 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:33 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:33 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:34 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:34 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:34 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:34 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:34 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:52 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:52 -0800] "GET /Shopaholic/style.css HTTP/1.1" 200 4784
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:52 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:52 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:52 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:58 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:01:58 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:03 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:03 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:12 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:12 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:31 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:31 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:48 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:49 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:49 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:52 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:52 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:52 -0800] "GET /Shopaholic/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:52 -0800] "GET /Shopaholic/images/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:52 -0800] "GET /Shopaholic/images/desk.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:52 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:54 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:11 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:14 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:14 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:16 -0800] "GET /Shopaholic/LogoutServlet?UserType=Merchant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:16 -0800] "GET /Shopaholic/merchantlogin.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:16 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:17 -0800] "GET /Shopaholic/merchantlogin.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:17 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:17 -0800] "GET /Shopaholic/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:20 -0800] "POST /Shopaholic/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:20 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 3648
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:20 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:20 -0800] "GET /Shopaholic/images/product-1.png HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:20 -0800] "GET /Shopaholic/images/28991033_m502t0010_06jun22_smart_watch_02-transformed.png HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:20 -0800] "GET /Shopaholic/images/29814582_03june22_game_controller_icon_02.jpg HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:20 -0800] "GET /Shopaholic/images/gray-sofa-brown-living-room-with-copy-space.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:27 -0800] "GET /Shopaholic/LogoutServlet?UserType=Merchant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:27 -0800] "GET /Shopaholic/merchantlogin.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:27 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:38 -0800] "GET /Shopaholic/merchantlogin.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:38 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:38 -0800] "GET /Shopaholic/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:38 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:40 -0800] "GET /Shopaholic/createaccount.jsp HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:40 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:50 -0800] "POST /Shopaholic/SignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:50 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:50 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:03:52 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:07 -0800] "POST /Shopaholic/MerchantServlet HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:46 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:46 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:48 -0800] "GET /Shopaholic/LogoutServlet?UserType=Merchant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:48 -0800] "GET /Shopaholic/merchantlogin.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:48 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:49 -0800] "GET /Shopaholic/merchantlogin.jsp HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:49 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:49 -0800] "GET /Shopaholic/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:49 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:51 -0800] "GET /Shopaholic/createaccount.jsp HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:51 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:59 -0800] "POST /Shopaholic/SignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:59 -0800] "GET /Shopaholic/UserServlet HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:04:59 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:00 -0800] "GET /Shopaholic/LogoutServlet?UserType=User HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:00 -0800] "GET /Shopaholic/login.jsp HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:00 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:02 -0800] "GET /Shopaholic/createaccount.jsp HTTP/1.1" 200 3895
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:02 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:12 -0800] "POST /Shopaholic/SignUpServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:12 -0800] "GET /Shopaholic/MerchantServlet HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:05:12 -0800] "GET /Shopaholic/style.css HTTP/1.1" 304 -
